Packet_Num,Time,Source,Destination,Protocol,Length
"4944","48.219071","192.168.3.101","192.168.20.2","UDP","1198"
"4945","48.224135","192.168.3.101","192.168.20.2","UDP","1143"
"4946","48.224165","192.168.3.101","192.168.20.2","UDP","1143"
"4947","48.225223","192.168.3.101","192.168.20.2","UDP","112"
"4948","48.229217","192.168.3.101","192.168.20.2","UDP","1143"
"4949","48.229247","192.168.3.101","192.168.20.2","UDP","1143"
"4950","48.230058","192.168.20.2","192.168.3.101","UDP","100"
"4952","48.23345","192.168.3.102","192.168.20.3","SIP","360"
"4954","48.234274","192.168.3.101","192.168.20.2","UDP","1143"
"4955","48.234292","192.168.3.101","192.168.20.2","UDP","1143"
"4956","48.23939","192.168.3.101","192.168.20.2","UDP","1143"
"4957","48.239414","192.168.3.101","192.168.20.2","UDP","1143"
"4958","48.244428","192.168.3.101","192.168.20.2","UDP","1143"
"4959","48.244452","192.168.3.101","192.168.20.2","UDP","1143"
"4960","48.249667","192.168.3.101","192.168.20.2","UDP","1143"
"4961","48.249697","192.168.3.101","192.168.20.2","UDP","1143"
"4963","48.254646","192.168.3.101","192.168.20.2","UDP","1143"
"4964","48.254667","192.168.3.101","192.168.20.2","UDP","1143"
"4965","48.259741","192.168.3.101","192.168.20.2","UDP","1144"
"4966","48.259763","192.168.3.101","192.168.20.2","UDP","1144"
"4967","48.26121","192.168.20.3","192.168.3.102","SIP","410"
"4968","48.261225","192.168.20.3","192.168.3.102","SIP","410"
"4969","48.261476","192.168.3.102","192.168.20.3","SIP","352"
"4970","48.264829","192.168.3.101","192.168.20.2","UDP","1162"
"4971","48.264855","192.168.3.101","192.168.20.2","UDP","1162"
"4972","48.269958","192.168.3.101","192.168.20.2","UDP","1162"
"4973","48.269989","192.168.3.101","192.168.20.2","UDP","1162"
"4974","48.275045","192.168.3.101","192.168.20.2","UDP","1162"
"4975","48.275072","192.168.3.101","192.168.20.2","UDP","1163"
"4976","48.280104","192.168.20.2","192.168.3.101","UDP","100"
"4977","48.280173","192.168.3.101","192.168.20.2","UDP","1163"
"4978","48.2802","192.168.3.101","192.168.20.2","UDP","1163"
"4979","48.285293","192.168.3.101","192.168.20.2","UDP","1163"
"4980","48.285323","192.168.3.101","192.168.20.2","UDP","1163"
